date,open,high,low,close,volume,barCount,average,MACD,MACD_Signal,MACD_Hist,K,D,J,EMA_12,EMA_26,MA_10,MA_20,MA_200,BB_Upper,BB_Middle,BB_Lower
2018-11-16 18:00:00,2731.75,2748.75,2708.75,2742.25,1800761,360611,2730.75,,,,34.365285378841776,28.310380380739804,46.47509537504572,2741.332928519756,2759.4643191351092,2753.625,2727.4625,,,,
2018-11-19 18:00:00,2733.0,2748.0,2681.5,2697.25,1924087,385938,2705.25,-28.318285048006146,-36.771329829835395,8.453044781829249,36.28620102212177,32.37247314226265,44.11365678184002,2734.5509395167164,2754.855851051027,2749.35,2724.4875,,,,
2018-11-20 18:00:00,2696.25,2696.75,2631.75,2637.0,2447554,532142,2654.0,-33.36323216150049,-36.08971029616841,2.7264781346679214,22.9725331473344,31.208006516099346,6.501586409804503,2719.5431026679908,2746.1257880102103,2737.25,2719.0375,,,,
2018-11-21 18:00:00,2639.75,2671.25,2632.25,2649.0,1372700,294172,2659.0,-35.97835332265413,-36.06743890146556,0.08908557881142798,10.048675311440666,23.102469826965642,-16.058913719609286,2708.690317642146,2738.9312851946393,2720.5,2717.75,,,,
2018-11-22 18:00:00,2650.0,2656.25,2627.0,2632.75,176243,57137,2642.0,-38.91352399509469,-36.63665592019139,-2.2768680749033052,5.282117744615089,12.76777540113008,-9.689197568414894,2697.0071918510466,2731.066004809851,2703.225,2715.3125,,,,
2018-11-23 18:00:00,2635.5,2647.5,2626.0,2628.5,645091,162966,2637.75,-41.10873151344413,-37.53107103884194,-3.5776604746021903,4.9847811870465515,6.771858081034131,1.4106273990713927,2686.4676238739626,2723.4685229720844,2688.2,2713.625,,,,
2018-11-26 18:00:00,2633.5,2676.25,2631.5,2661.0,1322059,261553,2664.25,-39.76755527837986,-37.978367886749524,-1.7891873916303354,11.285851331724759,7.184250087795495,19.48905381958329,2682.549527893353,2718.8412249741523,2681.25,2714.7,,,,
2018-11-27 18:00:00,2661.0,2686.75,2655.25,2686.0,1448386,317823,2670.5,-36.26928266938785,-37.63655084327719,1.367268173889343,26.439952543317997,14.236861687363131,50.846134255227724,2683.080369755914,2716.408541642734,2676.975,2714.5125,,,,
2018-11-28 18:00:00,2686.25,2745.0,2681.0,2741.0,1766248,341780,2714.0,-28.72768125015591,-35.85477692465294,7.127095674497028,57.02647657836493,31.584093484469253,107.91124276615628,2691.991082101158,2718.2301311506794,2680.875,2716.2625,,,,
2018-11-29 18:00:00,2738.0,2754.5,2723.25,2742.0,1437811,287625,2737.0,-22.411866106881007,-33.16619476109855,10.754328654217545,77.61285499556602,53.69309470574967,125.45237557519874,2699.684761777903,2719.990862176555,2681.675,2716.6625,,,,
2018-11-30 18:00:00,2742.0,2764.75,2729.0,2764.0,1392954,238172,2747.5,-15.453186252670093,-29.623593059412862,14.170406806742768,94.47272912630531,76.37068690007878,130.67681357875838,2709.579413812072,2723.2507983116247,2683.85,2718.7375,,,,
2018-12-03 18:00:00,2795.5,2816.0,2775.5,2791.75,1811778,344873,2792.25,-7.611449201619962,-25.221164287854283,17.60971508623432,92.32289170179693,88.13615860788944,100.6963578896119,2722.2210424563687,2728.3248132515046,2693.3,2721.325,,,,
2018-12-04 18:00:00,2791.75,2792.5,2697.75,2703.5,2559812,493778,2740.25,-8.420783999781634,-21.86108823023975,13.440304230458118,75.82859174959802,87.54140419256676,52.40296686366054,2719.3408820784657,2726.4859381958377,2699.95,2718.6,,,,
2018-12-05 18:00:00,2701.25,2722.5,2699.75,2719.75,183165,51492,2715.0,-7.662618568143898,-19.02139429782058,11.358775729676683,59.12280701751274,75.75809682296925,25.852227406599724,2719.4038232971634,2725.9869798109607,2707.025,2713.7625,,,,
2018-12-06 18:00:00,2715.0,2715.75,2623.0,2696.75,3161908,677945,2661.5,-8.816048858819158,-16.980325210020297,8.164276351201138,42.78133806015393,59.24424560908824,9.855522962285306,2715.9186197129843,2723.8212776027412,2713.425,2708.325,,,,
2018-12-07 18:00:00,2696.0,2711.5,2625.0,2638.5,2483497,543032,2662.25,-14.265989412951967,-16.43745805060663,2.1714686376546624,31.861876193056705,44.5886737569078,6.408281065354515,2704.008062834064,2717.5011829655014,2714.425,2701.3125,,,,
2018-12-10 18:00:00,2626.75,2650.25,2584.75,2643.25,2490900,536862,2620.75,-17.994393101654623,-16.74884506081623,-1.2455480408383934,23.84694020444152,32.83005148588406,5.88071764155643,2694.6606685519,2712.001095338427,2712.65,2696.95,,,,
2018-12-11 18:00:00,2645.75,2679.75,2623.0,2633.5,2189089,440973,2652.25,-21.488220571702186,-17.696720162993422,-3.791500408708764,18.136488820418567,24.615101739305604,5.179262982644495,2685.251334928531,2706.1861993874327,2707.4,2692.1875,,2889.10753325432,2738.845,2588.5824667456795
2018-12-12 18:00:00,2634.25,2688.25,2633.5,2653.0,1751903,358696,2668.75,-22.42511422405596,-18.64239897520593,-3.7827152488500317,25.297297297286352,22.426908774048822,31.038074343761416,2680.289591093372,2702.2464809142894,2698.6,2689.7375,,2875.6126268784055,2733.375,2591.1373731215945
2018-12-13 18:00:00,2654.75,2672.75,2639.0,2646.5,1630432,356864,2654.25,-23.42210937363143,-19.59834105489103,-3.823768318740399,25.76576576575462,23.06651729448652,31.164262708290813,2675.0911924636225,2698.117111957675,2689.05,2685.3625,,2863.0540637934578,2728.095,2593.135936206542
2018-12-14 18:00:00,2648.25,2650.5,2595.75,2598.75,940862,220908,2618.25,-27.745429113343107,-21.227758666581444,-6.517670446761663,20.985028349640096,24.016030470893696,14.923024107132896,2663.346393623065,2690.7565851459954,2672.525,2678.1875,,2853.255294369726,2722.17,2591.084705630274
2018-12-17 18:00:00,2595.75,2615.5,2532.25,2555.5,772559,174511,2574.25,-34.266600657409526,-23.835527064747062,-10.431073592662464,15.220777896824083,20.657190670739606,4.34795234899304,2646.754640757978,2680.7375788388845,2648.9,2671.1,,2845.4414241134286,2715.43,2585.418575886571
2018-12-18 18:00:00,2557.25,2577.75,2530.0,2532.0,2003880,454499,2560.0,-40.85992194512619,-27.240406040822887,-13.619515904303302,6.678782334643753,14.29486286036932,-8.553378716807384,2629.100080641366,2669.7199804063744,2631.75,2665.85,,2838.7954398344586,2708.32,2577.8445601655417
2018-12-19 18:00:00,2532.0,2592.0,2489.5,2503.25,2424799,605021,2542.0,-47.85343666404833,-31.363012165467975,-16.490424498580357,6.49705728829792,9.465539173255262,0.5600935183832334,2609.7385297734636,2657.388870746643,2610.1,2658.5625,,2844.1384643355523,2702.93,2561.7215356644474
2018-12-20 18:00:00,2505.0,2518.0,2441.5,2487.75,3351103,823241,2481.5,-54.02381501461059,-35.8951727352965,-18.128642279314093,8.67135912989045,7.2823995842773845,11.44927822111658,2590.971063654469,2644.823028469114,2589.2,2651.3125,,2850.607806423756,2697.725,2544.842193576244
2018-12-21 18:00:00,2485.0,2508.0,2409.25,2421.25,2872912,692530,2457.75,-63.547344320440516,-41.425607052325304,-22.12173726811521,9.746145547445616,8.304853988544671,12.628728665247507,2564.8601307845506,2628.262063397328,2567.475,2640.95,,2860.5484187715333,2690.705,2520.8615812284665
2018-12-24 18:00:00,2407.75,2434.5,2340.5,2342.0,1236870,375832,2386.0,-76.60654996665562,-48.461795635191365,-28.144754331464256,7.8253624350746085,8.747622370803567,5.98084256361669,2530.573956817697,2607.057466108637,2537.35,2625.0,,2877.6907014237495,2682.605,2487.5192985762505
2018-12-26 18:00:00,2348.5,2477.75,2316.75,2468.0,1924104,561738,2398.25,-75.91383017418411,-53.952202542989916,-21.961627631194197,15.739458227187122,11.103655403235791,25.011063875089782,2520.947194230359,2596.756913063553,2520.8,2614.1,,2875.920551400982,2675.635,2475.3494485990186
2018-12-27 18:00:00,2470.25,2498.75,2397.0,2489.25,2193028,602350,2439.5,-72.81082942311195,-57.72392791901432,-15.086901504097632,31.534230890385725,18.36635051754916,57.86999163605885,2516.070702810304,2588.7934380218085,2504.425,2601.5125,,2871.926355810698,2669.095,2466.2636441893014
2018-12-28 18:00:00,2491.5,2523.0,2472.75,2488.0,1939823,547291,2494.5,-69.64966553639533,-60.10907544249052,-9.540590093904811,50.497841348925895,32.590510155499594,86.31250373577849,2511.7521331471803,2581.3272574276,2488.575,2588.8125,,2870.063956955025,2663.35,2456.636043044975
2018-12-31 18:00:00,2495.5,2513.0,2482.75,2508.75,1346564,322943,2499.5,-64.7239711461034,-61.032054583213096,-3.691916562890299,59.58744579431836,47.20650601121,84.34932536053508,2511.2902665091524,2575.951164284815,2479.575,2576.05,,2867.1435442835727,2658.175,2449.2064557164276
